paper	dimension	rater1	rater2	adjudicated	upheld	rule_applied	evidence	source_checked
Orro (single-author)	D1 cv_over_edges	yes	no	no	rater 2	D1: a split over nodes, where all edges of a held-out miRNA move together, is `no`.	"Rater 1's own evidence quote settles it against rater 1's call: ""all associations involving validation miRNAs are removed from the training graph, and symmetrically, all associations involving training miRNAs are removed from the validation graph"". Rater 2: ""In each fold, the set of miRNAs is randomly divided into a training and a validation subset."""	not needed -- decided on the quote rater 1 already held
NIMGSA	D1 cv_over_edges	yes	unclear	unclear	rater 2	D1: `unclear` when the paper says it cross-validates but never says over what; the cardinal rule forbids inferring the unit from convention.	"Both raters recorded the same quote, ""We adopt five-fold cross validation to evaluate the performance"", and both noted the paper never states the unit."	PMC8774034 re-read 2026-09-06: no statement of the fold unit
HLGNN-MDA (Yu et al.)	D1 cv_over_edges	unclear	yes	yes	rater 2	D1: splitting samples or pairs into folds is `yes`.	"Rater 1's own evidence quote settles it against rater 1's call: ""The dataset with the positive and negative samples together was then randomly divided into ten parts."""	not needed -- decided on the quote rater 1 already held
HGDTI	D2 testedges_removed	no	unclear	unclear	rater 2	"D2: a `no` needs the paper to state, or its described procedure to entail on its own terms, that the full association matrix is the encoder input. Rater 1's cell carried a paraphrase (""heterogeneous network retains held-out test interactions during message passing""), not a quote; no quote could be produced."	The paper describes the network's node and link types and the databases the 1,923 known DTIs come from, and separately describes 10-fold CV over sampled positives and negatives; it never connects the two. Suggestive, but the codebook forbids resolving `unclear` by inference.	PMC9004085 re-read 2026-09-06: no statement either way
MGCNSS	D2 testedges_removed	no	unclear	no	rater 1	D2: the clearest signal for `no` is an adjacency described as built once from all known associations, before or independently of the split.	"The graph the GCN propagates over is defined globally as M = [IM A; A^T ID], with A the HMDD v2.0 association matrix of 5,430 experimentally verified associations; the split is described separately, over ""the positive and selected negative samples ... into five folders"". Nothing masks A per fold. Rater 1's call was right; its cell lacked the quote, which is now recorded."	academic.oup.com/bib/25/3/bbae168 re-read 2026-09-06: matrix definition confirmed verbatim
HiGLDP (Wang et al.)	D2 testedges_removed	yes	unclear	unclear	rater 2	D2 boundary note: exclusion stated of the training folds is not a statement about the graph; only an explicit statement about the graph, adjacency or message passing earns `yes`.	"Rater 1's own quote reaches only the folds: ""the test associations were strictly excluded from the training folds"". Nothing is said about the GIP similarity matrices or the interaction graph."	PMC13032502 re-read 2026-09-06: no statement about the graph
NGCN	D2 testedges_removed	unclear	yes	yes	rater 2	D2: an explicit statement that the graph is constructed from the training subset earns `yes`.	"""For each fold, a randomly chosen subset of 90% positive and negative pairs was used as training data to construct the heterogeneous networks and then train the parameters of NGCN, and the remaining 10% positive and negative pairs were held out as the test set."""	PMC10955156 re-read 2026-09-06: sentence confirmed verbatim
SaeGraphDTI (Zhang et al.)	D2 testedges_removed	unclear	yes	yes	rater 2	D2: an explicit statement that the propagated network is built from a proper subset of the interaction pairs earns `yes`.	"""including all interaction pairs in the calculation could result in the model's performance being artificially inflated compared to the actual real-world performance. Therefore, the set of drug-target interaction pairs involved in constructing the approximate network is defined as B, with the number of elements in B being less than the total number of interaction pairs in A."" This paper names the inflation mechanism this survey is about."	PMC12265306 -- rater 2's full-text read; quote is self-identifying
kmerPMTF	D2 testedges_removed	yes	unclear	unclear	rater 2	"D2: same rule as HGDTI -- rater 1's cell carried a paraphrase (""similarity matrices computed only from the training split before constructing the heterogeneous graph""), not a quote."	The paper's similarities are computed from k-mer frequency, i.e. from sequence rather than from associations, so they cannot leak; but the heterogeneous graph is built from miRNA-target associations and the text never relates that construction to the fold split.	PMC11122044 re-read 2026-09-06: timing of graph construction not stated
NIMGSA	D3 negative_sampling	not described	all_unlabeled	all_unlabeled	rater 2	D3: `not_described` requires the paper to report that negatives exist without saying how they were obtained. NIMGSA never uses the word negative at all; its objective supplies them implicitly.	Training minimises a Frobenius reconstruction loss over the whole association matrix Y, so every non-positive entry is a zero target: every unlabeled pair is a negative, with no sampling.	PMC8774034 re-read 2026-09-06
