paper	cv_over_edges	testedges_removed_from_encoder_graph	negative_sampling_category	negative_sampling_text	model_free_baseline	quote_D1	quote_D2	quote_D3	quote_D4	source_retrieved
MGCNSS	yes	unclear	non_uniform	Distance-based (cosine and Euclidean) selection of reliable negatives from unlabeled pairs; ratios 1:1, 1:5 and 1:10 evaluated	no	MGCNSS divides the positive and selected negative samples into five folders randomly and performs the 5-CV experiment.	NA - no statement about what happens to the graph/adjacency/similarity matrices at the split	we propose a distance-based negative sample selection strategy including cosine distance and Euclidean distance to select reliable negative samples.	Table 1 caption: The evaluation results of MGCNSS and baseline methods with 1:1 ratios on AUC, ACC and AUPR metrics. -- baselines are SVM, RF, XGBoost, GCN, GAT, DTIGAT, DTICNN, NeoDTI, MSGCL, AMHMDA, GATMDA, all trained	full_text
HybridGNN	yes	yes	uniform_unlabeled	Negative edges dynamically sampled during training at 0.2 ratio of total negative associations; fixed 0.1 ratio at evaluation	no	The edges were split into 80% training, 10% validation, and 10% test sets, to evaluate the model ability to predict unseen association.	To ensure rigorous training and evaluation, we employed the RandomLinkSplit function to split edges.	negative edges are dynamically sampled at a 20% (0.2 ratio) of the total negative association during training	Compared methods are IMCMDA, GCAEMDA, MINIMDA, MTLMDA, VMTMDA, AMHMDA, MDformer, HGTMDA, GONNMDA - all trained models, no parameter-free topological score	full_text
HGDTI	yes	unclear	non_uniform	Reliable-negative screening: unknown pairs scored by drug/target similarity, ranked, high-scoring ones taken as negatives; negatives 10x positives	no	The dataset is divided into 10 non-overlapping subsets according to the ratio (i.e. 1:10) of positive and negative samples in the original data set, 9 subsets are used as the training set and the remaining 1 subset is used as the test set.	NA - no statement about removing test interactions from the heterogeneous graph used for embedding learning	The negative candidate pairs are arranged in descending order according to the reliable score calculated by the above formula, and the high score is selected as the reliable negative DTIs.	We compare the performance of HGDTI with six predictive models, including NeoDTI, DTINet, MSCMF, NetLapRLS and BLMNII. - all trained models	full_text
NIMGSA	unclear	unclear	all_unlabeled	Paper never uses the word negative; training minimises a Frobenius reconstruction loss over the whole association matrix Y, so every non-positive entry acts as a zero target; no sampling described	no	We adopt five-fold cross validation to evaluate the performance - the paper never states what unit is divided into folds	NA - no statement about masking association-matrix entries or removing test edges before message passing	min_W 1/2 ||Y-T||_F^2 + beta*Lr + lambda*||W||_F^2 with Lr = alpha||Y-Fm||_F^2 + (1-alpha)||Y-Fd^T||_F^2 (loss taken over the full matrix Y)	We compare our proposed method, NIMGSA, with other five state-of-the-art methods: IMCMDA, SPM, NIMCGCN, MCLPMDA, GAEMDA - none is an enumerated parameter-free topological score; SPM is described only as a structural perturbation method-based approach with no statement that it is untrained	full_text
NGCN	yes	yes	uniform_unlabeled	Randomly sampled unknown drug-target pairs as negatives, 10x the number of positives	no	we first performed 10-fold cross-validation on all positive pairs and a set of randomly sampled negative pairs	For each fold, a randomly chosen subset of 90% positive and negative pairs was used as training data to construct the heterogeneous networks and then train the parameters of NGCN, and the remaining 10% positive and negative pairs were held out as the test set.	a set of randomly sampled negative pairs, whose number was 10 times as many as that of positive samples	Table 2 caption: The AUC values of six existing methods and our proposed method on the four datasets using 10-fold cross-validation. Methods: NetLapRLS, BLMNII, HNM, DTINet, MOLIERE, NeoDTI - all trained predictors	full_text
kmerPMTF	yes	unclear	uniform_unlabeled	All unconfirmed miRNA-target pairs form the negative pool; an equal number is randomly drawn for training (1:1), the remaining negatives all go to the test set	no	We categorize all recognized miRNA-target pairs as the positive dataset and evenly divide them into five portions.	NA - the graph is said to be constructed based on miRNA-target associations but the text never relates that construction to the fold split	All such unspecified miRNA-target associations constitute the negative dataset. ... an equivalent number of randomly chosen negative examples as the training set	Figure 2 caption: The performances of kmerPMTF compare with other methods in terms of AUPRC, AUROC, PRE, REC, F1 and ACC - compared methods MiRTDL, dgMDL, SG-LSTM-FRAME, MeSHHeading2vec, GAT, Adaboost, SVM-SVC, random forest are all trained	full_text
Orro (single-author)	no	yes	uniform_unlabeled	Negatives randomly sampled from miRNA-disease pairs not reported in HMDD; train negatives restricted to training miRNAs, validation negatives to validation miRNAs	no	In each fold, the set of miRNAs is randomly divided into a training and a validation subset.	For the separation of miRNA-disease edges, all associations involving validation miRNAs are removed from the training graph, and symmetrically, all associations involving training miRNAs are removed from the validation graph.	Negative samples are not defined as all unknown associations, but are instead randomly sampled from miRNA-disease pairs not reported in HMDD, following a standard negative sampling strategy for association prediction tasks.	Table 2 caption: Comparison of different machine learning approaches proposed in the literature reported from [46]. Rows: SVM, GBDT, RF, XGBoost, ELMDA, MDA-CF, TCRWMDA, WBSMDA, ABMDA, ICFMDA - no enumerated parameter-free topological score	full_text
CoupleMDA (Li et al.)	yes	yes	uniform_unlabeled	Negatives sampled from node pairs with no existing edge, 1:1 ratio	no	For data partitioning, we randomly divided all existing edges (positive samples) in the dataset into training, validation, and test sets with a ratio of 75:10:15.	To prevent information leakage, the training graph only contained positive edges from the training set, while positive edges in the validation and test sets were removed from the graph during training.	Negative samples were sampled from node pairs that did not have any existing edges in the graph at a 1:1 ratio.	Table 3 caption: Experiment results (%) on the test set of Zous dataset for the MDA link prediction task. Baselines GATNE, HetGNN, Simple-HGN, HAN, MAGNN, NCNC, HGCNMDA, MHGTMDA are all trained models	full_text
GONNMDA (Zeng et al.)	yes	unclear	uniform_unlabeled	Equal number of non-associated pairs drawn by random negative sampling against 15,186 validated associations (1:1)	no	For example, five-fold cross-validation divides the dataset into five equal subsets, or folds, with one fold used for validation and the remaining four used for training. -- the dataset being split is the set of 15,186 associations plus an equal number of sampled negative pairs	NA - no sentence relates adjacency/similarity-matrix construction to the fold split	After filtering, we identified 15,186 unique experimentally validated associations and selected an equal number of non-associated pairs through random negative sampling as negative samples.	Table 1 caption: Comparison with the state-of-the-art method on HMDD v3.2 dataset. Baselines NIMCMDA, GCAEMDA, MINIMDA, MTLMDA, MVMTMDA, AMHMDA, MDformer, HGTMDA are all trained models	full_text
DiGAMN (Liu et al.)	yes	yes	uniform_unlabeled	Equal number of miRNA-disease pairs with no recorded association drawn at random for the balanced setting; imbalanced settings use N times as many unknown edges (1:5, 1:10)	no	we selected all known association edges in the dataset as positive samples and chose N times the number of unknown association edges as negative samples	We masked 20% of the association information during cross-validation in the test set to prevent information leakage.	we randomly selected an equal number of miRNA-disease pairs with no recorded associations as negative samples to ensure sample balance	Compared methods MINIMDA, TDRC, AEMDA, GRPAMDA, HFHLMDA, CGHCN, AMHMDA, EGPMDA, MSHGANMDA, MGADAE and GNN baselines HGT, HAN, GCN, GAE, GraphSAGE, GAT are all trained models	full_text
