paper	model_free_baseline	mf_comparator	mf_score	mf_metric	paper_score	margin	evidence_quote	all_comparators	replicable	replicable_note
MGCNSS	no						All eleven comparators in Tables 1-2 are fitted models; the only untrained propagation term in the paper is inside MGCNSS itself ("the RWR algorithm is applied to learn the initial feature matrix for miRNAs and diseases", Fig. 1A) and inside the trained baseline DTICNN ("adopts RWR algorithm to extract features and employs a denoising auto-encoder"), i.e. in the pipeline, not in the table (codebook D4 rule 2).	SVM (trained); RF (trained); XGBoost (trained); GCN (trained); GAT (trained); DTIGAT (trained); DTICNN (trained); NeoDTI (trained); MSGCL (trained); AMHMDA/MHMDA (trained); GATMDA (trained)	have_locally	Already downloaded and instrumented under data/graphs_survey.
NIMGSA	yes	SPM (structural perturbation method)	0.8960	AUROC (5-fold CV, HMDD v2.0)	0.9354	0.0394	"SPM: Zeng et al. [25] proposed a structural perturbation method-based approach to predict miRNA-disease associations on bipartite miRNA-disease graph." Table 1: SPM AUROC 0.8960 +/- 0.0070 vs NIMGSA 0.9354 +/- 0.0047. SPM also beats IMCMDA (0.8329), a trained matrix-completion baseline. AUPR margin is far larger (0.2464 vs 0.4567).	IMCMDA (trained, matrix completion); SPM (untrained, structural perturbation); NIMCGCN (trained); MCLPMDA (trained); GAEMDA (trained)	have_locally	Already downloaded and instrumented under data/graphs_survey.
HybridGNN	no						"We compare HybridGNN model with several state-of-the-art methods... The comparative IMCMDA methods employs neural inductive matrix completion framework... GCAEMDA utilized graph convolutional autoencoder... MINIMDA ... followed by a multilayer perceptron ... MTLMDA applies a multi-task learning strategy ... AMHMDA incorporates graph convolutional networks with attention mechanisms ... MDformer leverages a transformer-based architecture ... HGTMDA integrates graph convolutional attention with a transformer encoder ... GONNMDA applies graph neural network" (Fig. 5). Every comparator is fitted; no propagation or similarity-score method appears.	IMCMDA (trained, inductive matrix completion); GCAEMDA (trained); MINIMDA (trained); MTLMDA (trained); VMTMDA/MVMTMDA (trained); AMHMDA (trained); MDformer (trained); HGTMDA (trained); GONNMDA (trained)	obtainable	HMDD v4.0 (public release) plus code+data at https://github.com/mbasharatahmad/HybridGNN-miRNA-disease/ (HTTP 200); IMCMDA benchmark (5430 MDAs, Chen et al. 2018) also public.
HGDTI	no						"We compare the performance of HGDTI with six predictive models, including NeoDTI [25], DTINet [24], MSCMF [13], NetLapRLS [12] and BLMNII [11]." All five named comparators fit parameters to the DTI data; the only random-walk term in the paper is inside DTINet ("DTINet generates low-dimensional features representing the structure of nodes in context through a network diffusion algorithm (random walk with restart, RWR)"), whose RWR feeds an inductive-matrix-completion projection that is fitted, so DTINet is trained. Text says six models but names five.	NeoDTI (trained); DTINet (trained, RWR features + fitted inductive matrix completion); MSCMF (trained, collaborative matrix factorisation); NetLapRLS (trained, Laplacian regularised least squares); BLMNII (trained, bipartite local models)	obtainable	Dataset is the DTINet/Luo et al. 2017 heterogeneous network (DrugBank v3.0, HPRD r9, CTD, SIDER), itself public; authors also post it at a Google Drive folder that still resolves (HTTP 200). The lab mirror http://bioinfo.jcu.edu.cn/hgdti is dead (no response).
NGCN	yes	HNM (heterogeneous network model, Wang et al. Bioinformatics 2014)	0.940	AUC, 10-fold CV, Yamanishi GPCR dataset (strongest floor of the four; Enzyme 0.949, Ion channels 0.924, Nuclear receptors 0.894)	0.957	0.017	"We compared NGCN with six baseline methods, including NeoDTI, DTINet, BLMNII, MOLIERE, NetLapRLS and HNM." Table 2 AUC: HNM 0.949/0.924/0.940/0.894 vs NGCN 0.973/0.975/0.957/0.944 on Enzyme/Ion channels/GPCR/Nuclear receptors. HNM = ref 37, Wang W et al., "Drug repositioning by integrating target information through a heterogeneous network model", Bioinformatics 2014 -- an iterative propagation model on a heterogeneous network with hand-set parameters, no fitting; NGCN itself concedes it is a plain propagation method ("HNM method only considers three different types of data"). On GPCR, HNM also beats the trained NetLapRLS (0.928) and DTINet (0.937). Fig. 2 AUPRC comparison on the DTINet dataset has no readable values.	NetLapRLS (trained); BLMNII (trained); HNM (untrained, heterogeneous network propagation); DTINet (trained); MOLIERE (trained -- cited as ref 35 = Buza et al. 2020 "Modified linear regression predicts drug-target interactions accurately", a fitted regression, so the name MOLIERE appears to be a mislabel); NeoDTI (trained)	obtainable	Yamanishi Enzyme/Ion-channel/GPCR/Nuclear-receptor benchmarks at http://web.kuicr.kyoto-u.ac.jp/supp/yoshi/drugtarget/ plus source code and data at https://github.com/Junyue28/NGCN/ (HTTP 200); main experiments use the public DTINet/Luo et al. 2017 network.
kmerPMTF	no						"For the deep learning comparison, we selected MiRTDL (Cheng et al., 2015), dgMDL (Luo et al., 2019) and SG-LSTM-FRAME (Xie et al., 2020)... we conducted experiments using our datasets in the MeSHHeading2vec framework ... and graph attention networks (GAT) ... Specifically, we applied the Adaboost, M-SVC and random forest algorithms to our data." Every comparator in Fig. 2 is fitted. The untrained sequence-complementarity tools psRNATarget, TargetFinder and Target-align are named only in the Introduction as prior art, never run or scored (codebook D4 rule 2: in the table, not in the prose).	MiRTDL (trained, CNN); dgMDL (trained, deep belief network); SG-LSTM-FRAME (trained, LSTM over random-walk paths); MeSHHeading2vec (trained, graph embedding); GAT (trained); AdaBoost (trained); M-SVC (trained); random forest (trained)	obtainable	miRNA-target pairs come from PmiREN (public); the paper deposits its data at figshare doi:10.6084/m9.figshare.24916023.v1 and code at https://github.com/Weihankk/kmerPMTF and Zenodo doi:10.5281/zenodo.10681653 (both resolve).
DTI field convention	NOT_A_PAPER	NOT_A_PAPER	NOT_A_PAPER	NOT_A_PAPER	NOT_A_PAPER	NOT_A_PAPER	NOT_A_PAPER	NOT_A_PAPER	NOT_A_PAPER	NOT_A_PAPER
Orro (single-author)	yes	TCRWMDA (three-layer heterogeneous network + unbalanced random walk); also WBSMDA and ICFMDA	92.09	AUC-ROC (%), 5-fold CV, HMDD v2.0 (all Table 2 comparators are on v2)	97.10	5.01	Table 2 lists TCRWMDA 92.09, ICFMDA 90.23 and WBSMDA 81.85 AUCROC against P.A. v2 97.10. OVERRULE (codebook D4 rule 1): the paper describes "WBSMDA [47], an attention-aware multi-view graph convolutional network combined with hypergraph learning"; WBSMDA is in fact Chen et al., "WBSMDA: Within and between score for MiRNA-disease association prediction", Sci Rep 2016;6:21106 -- an untrained score computed from similarity matrices (the paper cites AMHMDA under the name WBSMDA). Likewise "TCRWMDA [55], employing hypergraph-based logistic matrix factorization ... metabolites and diseases" is really Three-layer heterogeneous network Combined with unbalanced Random Walk for MDA (Front Genet 2019, PMC6967737), whose Algorithm 1 is pure random walk with six hand-set parameters (alpha, beta, lambda, l, r, s) and no fitting; and ICFMDA is Jiang et al., "Predict MiRNA-Disease Association with Collaborative Filtering" (Neuroinformatics 2018), which "scored with the addition of bidirectional recommendation results" from similarity matrices, no fitted parameters. The comparator citations in Table 2 are copied wholesale (and already scrambled) from ELMDA [46] = Gu & Li, BMC Bioinform 2023;24:177.	SVM (trained); GBDT (trained); RF (trained); XGBoost (trained); ELMDA (trained, ensemble voting); MDA-CF (trained, cascade forest); TCRWMDA (untrained, unbalanced random walk on a three-layer network); WBSMDA (untrained, within-and-between similarity score); ABMDA (trained, AdaBoost); ICFMDA (untrained, improved collaborative filtering over similarity matrices)	obtainable	No code or data release ("The original contributions presented in this study are included in the article"), but every source is a named public release: miRNA-disease edges from HMDD v2.0/v3.2/v4.0, sequences from miRBase, disease-gene edges from DisGeNET via UMLS CUIs. Caveat: the manual disease-name normalisation is not published, so node counts (548x383 at v2) will not reproduce exactly.
CoupleMDA (Li et al.)	no						The three baseline classes are all fitted neural models: "RGCN ... extends traditional graph convolutional network", "HGT ... heterogeneous graph transformer", "GATNE ... learns three distinct embeddings", "HetGNN ... end-to-end optimization of node representations", "Simple-HGN", "HAN", "MAGNN", "HGCNMDA ... employs a multi-relational GCN", "MHGTMDA", "NCNC ... MPNN-then-SF framework ... neural common neighbors". Common neighbours and resource allocation are discussed (Section 1) only as structural features consumed inside NCNC-style encoders, never scored as standalone baselines (codebook D4 rule 2).	RGCN (trained); HGT (trained); GATNE (trained); HetGNN (trained); Simple-HGN (trained); HAN (trained); MAGNN (trained); HGCNMDA (trained); MHGTMDA (trained); NCNC (trained, neural common neighbours)	have_locally	Already downloaded and instrumented under data/graphs_survey.
GONNMDA (Zeng et al.)	no						All eight comparators are described by the paper itself as fitted models, e.g. "(1) NIMCMDA ... employs a neural inductive matrix completion model", "(3) MINIMDA ... a multilayer perceptron is used to predict", "(8) HGTMDA ... the model is trained with the DCE loss function". No propagation or similarity-score baseline appears in Table 1 or Figs. 3-4; the only random-walk term is a masking strategy inside the trained baseline HGTMDA.	NIMCMDA (trained); GCAEMDA (trained); MINIMDA (trained); MTLMDA (trained); MVMTMDA (trained); AMHMDA (trained); MDformer (trained); HGTMDA (trained)	obtainable	HMDD v3.2 (public release) with code at https://github.com/ZengsihaoNB666/GONNMDA.git (HTTP 200).
DiGAMN (Liu et al.)	no						"The ten methods used for comparison were MINIMDA [43], TDRC [60], AEMDA [37], GRPAMDA [47], HFHLMDA [48], CGHCN [49], AMHMDA [51], EGPMDA [52], MSHGANMDA [54] and MGADAE [12]." Every one is fitted -- the paper groups them as "similarity-based" (MINIMDA, but "using mixed neighborhood information and MLP models"), tensor decomposition (TDRC), deep autoencoders, GNNs and heterogeneous graph networks. The additional comparison (Fig. 5) is against six trained GNNs: "HGT, HAN, GCNs, GAE, GraphSAGE, and GAT". No untrained propagation or similarity-score comparator appears.	MINIMDA (trained, MLP); TDRC (trained, tensor decomposition); AEMDA (trained, deep autoencoder); GRPAMDA (trained); HFHLMDA (trained, hypergraph learning); CGHCN (trained); AMHMDA (trained); EGPMDA (trained, graph transformer); MSHGANMDA (trained); MGADAE (trained); HGT (trained); HAN (trained); GCN (trained); GAE (trained); GraphSAGE (trained); GAT (trained)	have_locally	Already downloaded and instrumented under data/graphs_survey.
DGNMDA (Lu et al.)	no						"we chose five cutting-edge techniques as baselines: NIMGSA [29], AGAEMD [30], HGANMDA [23], MMGCN [22], and AMHMDA [31]" (Table 1 lists them as NIMCGCN, AGAEMD, HGANMDA, MAGCN, AMHMDA -- the naming is inconsistent between text and table). All are fitted GNN/matrix-completion models, e.g. "NIMCGCN [29]: employs GCNs to derive features from similarity graphs and integrates a neural inductive matrix completion model". No untrained comparator in Table 1 or Fig. 2.	NIMCGCN/NIMGSA (trained, GCN + neural inductive matrix completion); AGAEMD (trained, attention graph autoencoder); HGANMDA (trained, hierarchical graph attention); MAGCN/MMGCN (trained, multi-channel GCN); AMHMDA (trained)	obtainable	HMDD v3.2 benchmark (12,446 associations, 853 miRNAs, 591 diseases) from the public HMDD release at http://www.cuilab.cn/hmdd (resolves). No code repository is given.
HLGNN-MDA (Yu et al.)	yes	BNPMDA (bipartite network projection)	0.85648	AUROC, 10-fold CV, HMDD v2.0 (5430 associations)	0.93086	0.07438	"The algorithms selected for comparison were BLHARMDA ... BNPMDA (bipartite network projection for miRNA-disease association prediction) [52], IMCMDA (inductive matrix completion ...) [52], LFEMDA (predict miRNA-disease associations by latent features extraction) [53] and MKRMDA (multiple kernel learning-based Kronecker regularized least squares ...) [54]. All models for performance analysis experiments adopted the association data from HMDD v2.0." Table 1: BNPMDA AUROC 0.85648 vs best HLGNN-MDA row (hop4) 0.93086. BNPMDA (Chen et al., Bioinformatics 2018) projects the bipartite association network with bias ratings and fits nothing. Judgment call recorded: BLHARMDA (AUROC 0.92838, only 0.0025 below HLGNN-MDA) is counted TRAINED here because its bipartite local models fit a modified/hubness-aware kNN regression per node ("we first used known miRNA-disease associations to calculate the Jaccard similarity ... then utilized a modified kNNs model in the bipartite local model method"); a rater who counted error-correcting kNN as parameter-free would put the floor at 0.92838 and the margin at 0.00248.	BLHARMDA (trained, bipartite local models + hubness-aware kNN regression -- borderline); BNPMDA (untrained, bipartite network projection); IMCMDA (trained, inductive matrix completion); LFEMDA (trained, latent feature extraction); MKRMDA (trained, multiple-kernel Kronecker regularised least squares); DGCNN (trained, in Table 3)	have_locally	Already downloaded and instrumented under data/graphs_survey; also at https://github.com/LiangYu-Xidian/HLGNN-MDA (HTTP 200).
MEAHNE (Huang et al.)	no						Table 3 compares only trained embedding/GNN models: "Metapath2vec [29] 72.78 | GAT [23] 91.96 | HAN [30] 92.35 | GAEMDA [28] 91.96 | MAGNN [32] 92.93 | HECO [37] 93.00 | MEAHNE 95.20" (AUC). Metapath2vec is a random-walk-based node embedding, which the codebook classes as trained (node embeddings, cf. Dgn2vec); every other row is a GNN. No propagation or similarity-score comparator appears.	Metapath2vec (trained, random-walk node embedding); GAT (trained); HAN (trained); GAEMDA (trained); MAGNN (trained); HECO (trained)	have_locally	Already downloaded and instrumented under data/graphs_survey; also at https://github.com/yyx-hc/MEAHNE (HTTP 200).
CKSNP-GNN (Li et al.)	yes	LLCMDA (locality-constrained linear coding + label propagation); PBMDA (path-based model) is the other untrained row	91.90	AUC (%), best value reported in each comparator paper; CKSNP-GNN itself on HMDD v3.2	93.71	1.81	"we compared it with six related models (PBMDA [36], LLCMDA [37], EDTMDA [38], GBDTLR [20], MCLPMDA [39], GAEMDA [40]) ... Our study selected the optimal AUC recorded in each paper for comparison, as shown in Table 1." Table 1: PBMDA 91.72, LLCMDA 91.90, EDTMDA 91.92, GBDTLR 92.74, MCLPMDA 93.20, GAEMDA 93.56, Our Model 93.71. PBMDA is You et al., "PBMDA: a novel and effective path-based computational model", PLoS Comput Biol 2017 -- a depth-first path-scoring method with no fitted parameters (codebook D4 qualifying list). LLCMDA is Ding et al., Front Genet 2018: "we first reconstruct similarity networks for both miRNAs and diseases using LLC and then apply label propagation on the similarity networks to get relevant scores" -- graph reconstruction plus propagation, no fitted predictor; counting only PBMDA gives a margin of 1.99. Caveat: the comparator AUCs are each paper best-reported number, not re-run on CKSNP-GNN own split.	PBMDA (untrained, path-based scoring); LLCMDA (untrained, LLC-reconstructed similarity + label propagation); EDTMDA (trained, ensemble of decision trees); GBDTLR (trained, gradient boosting + logistic regression); MCLPMDA (trained, matrix completion + label propagation); GAEMDA (trained, graph autoencoder)	have_locally	Already downloaded and instrumented under data/graphs_survey.
